customer_id,customer_fname,customer_lname,customer_email,customer_password,customer_street,customer_city,customer_state,customer_zipcode
101,Alexander,Cortez,theodorelester@example.net,F*DS3KsnFR,61509 Calhoun Tunnel Apt. 286,Stephenmouth,TN,14970
102,James,Warner,ernest70@example.net,(1onJ_crc),654 Ryan Ford Apt. 875,West Angela,DE,74793
103,Sheryl,Andrews,robertwest@example.org,436F#Rg2+v,2940 Laura Trace Apt. 360,Josephchester,AL,75628
104,Reginald,Solis,geoffrey09@example.com,R4e(8V8t$e,033 Kathleen Inlet Suite 485,Lake Martin,IA,30616
105,Jasmine,Cox,jack26@example.net,^5XAjCIi(k,0524 Herman Highway,Ericksonshire,WY,07785
106,Larry,Owens,singhchad@example.org,1y0_mKab)y,184 Anthony Spring,Caseyview,NJ,64803
107,Tara,Robinson,tlozano@example.com,a8^ABcS6(3,27022 Tiffany Camp Suite 645,New Kristinberg,OK,93532
108,Dillon,Barry,roy37@example.org,D35XZr84_q,07325 Castro Path,East Lynn,SD,09585
109,Carlos,Fisher,hkim@example.net,+cMKtXt*0V,45821 Andre Ridges,Andreabury,KS,32255
110,Stephanie,Walters,hayneschristina@example.net,M&c9GZMp32,505 Irwin Plain,Rodgersville,PW,68579
